time [s]	pitch[degree/s]	yaw[degree/s]	roll[degree/s]	altitude[km]	long[degrees]	latd[degrees]	thrust[kN]
   9.3000000e-01  -1.0046522e-08  -1.2760231e-01  -5.0003563e+01   5.4154118e-02   1.6018840e+01   6.9294098e+01   4.8325512e+05
   9.4000000e-01  -1.4256370e-08  -1.2760231e-01  -5.0003602e+01   5.4335664e-02   1.6018840e+01   6.9294098e+01   4.8322517e+05
   9.5000000e-01  -6.6344694e-09  -1.2760231e-01  -5.0003642e+01   5.4519352e-02   1.6018840e+01   6.9294098e+01   4.8319598e+05
   9.6000000e-01   9.5123201e-09  -1.2760231e-01  -5.0003681e+01   5.4705181e-02   1.6018840e+01   6.9294098e+01   4.8316753e+05
   9.7000000e-01   2.4277108e-08  -1.2760231e-01  -5.0003720e+01   5.4893151e-02   1.6018840e+01   6.9294098e+01   4.8313937e+05
   9.8000000e-01   2.8377982e-08  -1.2760232e-01  -5.0003759e+01   5.5083264e-02   1.6018840e+01   6.9294098e+01   4.8311110e+05
   9.9000000e-01   2.1488642e-08  -1.2760232e-01  -5.0003798e+01   5.5275518e-02   1.6018840e+01   6.9294098e+01   4.8308279e+05
   1.0000000e+00   8.7103712e-09  -1.2760232e-01  -5.0003837e+01   5.5469915e-02   1.6018840e+01   6.9294098e+01   4.8305484e+05
   1.0100000e+00  -4.8069135e-09  -1.2760232e-01  -5.0003876e+01   5.5666454e-02   1.6018840e+01   6.9294098e+01   4.8302754e+05
   1.0200000e+00  -1.4102685e-08  -1.2760232e-01  -5.0003915e+01   5.5865136e-02   1.6018840e+01   6.9294098e+01   4.8300075e+05
   1.0300000e+00  -1.4296652e-08  -1.2760232e-01  -5.0003954e+01   5.6065961e-02   1.6018840e+01   6.9294098e+01   4.8297409e+05
   1.0400000e+00  -2.6224694e-09  -1.2760233e-01  -5.0003993e+01   5.6268930e-02   1.6018840e+01   6.9294098e+01   4.8294729e+05
   1.0500000e+00   1.3861215e-08  -1.2760233e-01  -5.0004032e+01   5.6474041e-02   1.6018840e+01   6.9294098e+01   4.8292058e+05
   1.0600000e+00   2.5244399e-08  -1.2760233e-01  -5.0004071e+01   5.6681296e-02   1.6018840e+01   6.9294098e+01   4.8289434e+05
   1.0700000e+00   2.4714872e-08  -1.2760233e-01  -5.0004110e+01   5.6890695e-02   1.6018840e+01   6.9294098e+01   4.8286875e+05
   1.0800000e+00   1.5223132e-08  -1.2760234e-01  -5.0004149e+01   5.7102237e-02   1.6018840e+01   6.9294098e+01   4.8284356e+05
   1.0900000e+00   1.6384251e-09  -1.2760234e-01  -5.0004189e+01   5.7315924e-02   1.6018840e+01   6.9294098e+01   4.8281837e+05
   1.1000000e+00  -1.1067742e-08  -1.2760234e-01  -5.0004228e+01   5.7531755e-02   1.6018840e+01   6.9294098e+01   4.8279305e+05
   1.1100000e+00  -1.7702002e-08  -1.2760234e-01  -5.0004267e+01   5.7749731e-02   1.6018840e+01   6.9294098e+01   4.8276794e+05
   1.1200000e+00  -1.3143733e-08  -1.2760234e-01  -5.0004306e+01   5.7969852e-02   1.6018840e+01   6.9294098e+01   4.8274345e+05
   1.1300000e+00   1.9020560e-09  -1.2760235e-01  -5.0004345e+01   5.8192117e-02   1.6018840e+01   6.9294098e+01   4.8271967e+05
   1.1400000e+00   1.7859851e-08  -1.2760235e-01  -5.0004384e+01   5.8416528e-02   1.6018840e+01   6.9294098e+01   4.8269621e+05
   1.1500000e+00   2.4679929e-08  -1.2760235e-01  -5.0004423e+01   5.8643085e-02   1.6018840e+01   6.9294098e+01   4.8267265e+05
   1.1600000e+00   1.9507550e-08  -1.2760235e-01  -5.0004462e+01   5.8871787e-02   1.6018840e+01   6.9294098e+01   4.8264895e+05
   1.1700000e+00   7.2688239e-09  -1.2760235e-01  -5.0004501e+01   5.9102636e-02   1.6018840e+01   6.9294098e+01   4.8262552e+05
   1.1800000e+00  -6.7374322e-09  -1.2760236e-01  -5.0004540e+01   5.9335630e-02   1.6018840e+01   6.9294098e+01   4.8260276e+05
   1.1900000e+00  -1.7440192e-08  -1.2760236e-01  -5.0004579e+01   5.9570771e-02   1.6018840e+01   6.9294098e+01   4.8258060e+05
   1.2000000e+00  -1.9943783e-08  -1.2760236e-01  -5.0004618e+01   5.9808059e-02   1.6018840e+01   6.9294098e+01   4.8255861e+05
   1.2100000e+00  -1.0330592e-08  -1.2760236e-01  -5.0004657e+01   6.0047494e-02   1.6018840e+01   6.9294098e+01   4.8253640e+05
   1.2200000e+00   6.2535195e-09  -1.2760236e-01  -5.0004696e+01   6.0289076e-02   1.6018840e+01   6.9294098e+01   4.8251412e+05
   1.2300000e+00   1.9733477e-08  -1.2760237e-01  -5.0004735e+01   6.0532805e-02   1.6018840e+01   6.9294098e+01   4.8249220e+05
   1.2400000e+00   2.1608183e-08  -1.2760238e-01  -5.0004775e+01   6.0778681e-02   1.6018840e+01   6.9294098e+01   4.8247096e+05
   1.2500000e+00   1.3305578e-08  -1.2760238e-01  -5.0004814e+01   6.1026706e-02   1.6018840e+01   6.9294098e+01   4.8245018e+05
   1.2600000e+00   6.5438267e-12  -1.2760238e-01  -5.0004853e+01   6.1276878e-02   1.6018840e+01   6.9294098e+01   4.8242942e+05
   1.2700000e+00  -1.3151860e-08  -1.2760236e-01  -5.0004892e+01   6.1529199e-02   1.6018840e+01   6.9294098e+01   4.8240839e+05
   1.2800000e+00  -2.1242063e-08  -1.2760235e-01  -5.0004931e+01   6.1783669e-02   1.6018840e+01   6.9294098e+01   4.8238740e+05
   1.2900000e+00  -1.9394726e-08  -1.2760239e-01  -5.0004970e+01   6.2040288e-02   1.6018840e+01   6.9294098e+01   4.8236694e+05
   1.3000000e+00  -6.1893087e-09  -1.2760247e-01  -5.0005009e+01   6.2299055e-02   1.6018840e+01   6.9294098e+01   4.8234726e+05
   1.3100000e+00   1.0127386e-08  -1.2760249e-01  -5.0005048e+01   6.2559973e-02   1.6018840e+01   6.9294098e+01   4.8232807e+05
   1.3200000e+00   1.9666056e-08  -1.2760233e-01  -5.0005087e+01   6.2823039e-02   1.6018840e+01   6.9294098e+01   4.8230899e+05
   1.3300000e+00   1.7212662e-08  -1.2760197e-01  -5.0005126e+01   6.3088256e-02   1.6018840e+01   6.9294098e+01   4.8228977e+05
   1.3400000e+00   6.6332231e-09  -1.2760158e-01  -5.0005165e+01   6.3355622e-02   1.6018840e+01   6.9294097e+01   4.8227048e+05
   1.3500000e+00  -7.1611824e-09  -1.2760133e-01  -5.0005204e+01   6.3625139e-02   1.6018840e+01   6.9294097e+01   4.8225119e+05
   1.3600000e+00  -1.9179746e-08  -1.2760130e-01  -5.0005243e+01   6.3896806e-02   1.6018840e+01   6.9294097e+01   4.8223191e+05
   1.3700000e+00  -2.4322477e-08  -1.2760137e-01  -5.0005282e+01   6.4170625e-02   1.6018840e+01   6.9294097e+01   4.8221254e+05
   1.3800000e+00  -1.7816269e-08  -1.2760143e-01  -5.0005321e+01   6.4446594e-02   1.6018840e+01   6.9294097e+01   4.8219299e+05
   1.3900000e+00  -2.2379511e-09  -1.2760143e-01  -5.0005361e+01   6.4724715e-02   1.6018840e+01   6.9294097e+01   4.8217342e+05
   1.4000000e+00   1.2674974e-08  -1.2760142e-01  -5.0005400e+01   6.5004987e-02   1.6018840e+01   6.9294097e+01   4.8215425e+05
   1.4100000e+00   1.7540867e-08  -1.2760141e-01  -5.0005439e+01   6.5287411e-02   1.6018840e+01   6.9294097e+01   4.8213587e+05
   1.4200000e+00   1.1350859e-08  -1.2760141e-01  -5.0005478e+01   6.5571987e-02   1.6018840e+01   6.9294097e+01   4.8211824e+05
   1.4300000e+00  -1.1048008e-09  -1.2760142e-01  -5.0005517e+01   6.5858716e-02   1.6018840e+01   6.9294097e+01   4.8210102e+05
   1.4400000e+00  -1.4895392e-08  -1.2760142e-01  -5.0005556e+01   6.6147597e-02   1.6018840e+01   6.9294097e+01   4.8208389e+05
   1.4500000e+00  -2.4892306e-08  -1.2760143e-01  -5.0005595e+01   6.6438631e-02   1.6018840e+01   6.9294097e+01   4.8206687e+05
   1.4600000e+00  -2.5870507e-08  -1.2760143e-01  -5.0005634e+01   6.6731819e-02   1.6018840e+01   6.9294097e+01   4.8205011e+05
   1.4700000e+00  -1.4495503e-08  -1.2760143e-01  -5.0005673e+01   6.7027160e-02   1.6018840e+01   6.9294097e+01   4.8203376e+05
   1.4800000e+00   2.3381700e-09  -1.2760143e-01  -5.0005712e+01   6.7324654e-02   1.6018840e+01   6.9294097e+01   4.8201776e+05
   1.4900000e+00   1.4293510e-08  -1.2760144e-01  -5.0005751e+01   6.7624303e-02   1.6018840e+01   6.9294097e+01   4.8200202e+05
   1.5000000e+00   1.3883655e-08  -1.2760144e-01  -5.0005790e+01   6.7926105e-02   1.6018840e+01   6.9294097e+01   4.8198645e+05
   1.5100000e+00   4.0515048e-09  -1.2760144e-01  -5.0005829e+01   6.8230063e-02   1.6018840e+01   6.9294097e+01   4.8197105e+05
   1.5200000e+00  -9.8774262e-09  -1.2760144e-01  -5.0005868e+01   6.8536175e-02   1.6018840e+01   6.9294097e+01   4.8195586e+05
   1.5300000e+00  -2.2688570e-08  -1.2760145e-01  -5.0005908e+01   6.8844442e-02   1.6018840e+01   6.9294097e+01   4.8194092e+05
   1.5400000e+00  -2.9444544e-08  -1.2760145e-01  -5.0005947e+01   6.9154864e-02   1.6018840e+01   6.9294097e+01   4.8192626e+05
   1.5500000e+00  -2.5311569e-08  -1.2760145e-01  -5.0005986e+01   6.9467443e-02   1.6018840e+01   6.9294097e+01   4.8191193e+05
   1.5600000e+00  -1.0583543e-08  -1.2760146e-01  -5.0006025e+01   6.9782177e-02   1.6018840e+01   6.9294097e+01   4.8189794e+05
   1.5700000e+00   5.5157853e-09  -1.2760146e-01  -5.0006064e+01   7.0099067e-02   1.6018840e+01   6.9294097e+01   4.8188414e+05
   1.5800000e+00   1.3054993e-08  -1.2760146e-01  -5.0006103e+01   7.0418113e-02   1.6018840e+01   6.9294097e+01   4.8187040e+05
   1.5900000e+00   8.6146031e-09  -1.2760147e-01  -5.0006142e+01   7.0739317e-02   1.6018840e+01   6.9294097e+01   4.8185673e+05
   1.6000000e+00  -3.1985973e-09  -1.2760147e-01  -5.0006181e+01   7.1062677e-02   1.6018840e+01   6.9294097e+01   4.8184332e+05
   1.6100000e+00  -1.7283416e-08  -1.2760147e-01  -5.0006220e+01   7.1388195e-02   1.6018840e+01   6.9294097e+01   4.8183036e+05
   1.6200000e+00  -2.8549065e-08  -1.2760148e-01  -5.0006259e+01   7.1715870e-02   1.6018840e+01   6.9294097e+01   4.8181780e+05
   1.6300000e+00  -3.1913887e-08  -1.2760148e-01  -5.0006298e+01   7.2045704e-02   1.6018840e+01   6.9294097e+01   4.8180537e+05
   1.6400000e+00  -2.3096489e-08  -1.2760148e-01  -5.0006337e+01   7.2377695e-02   1.6018840e+01   6.9294097e+01   4.8179282e+05
   1.6500000e+00  -6.6789832e-09  -1.2760149e-01  -5.0006376e+01   7.2711845e-02   1.6018840e+01   6.9294097e+01   4.8178025e+05
   1.6600000e+00   7.2385654e-09  -1.2760149e-01  -5.0006415e+01   7.3048153e-02   1.6018840e+01   6.9294097e+01   4.8176798e+05
   1.6700000e+00   9.8266369e-09  -1.2760149e-01  -5.0006454e+01   7.3386621e-02   1.6018840e+01   6.9294097e+01   4.8175626e+05
   1.6800000e+00   1.9468016e-09  -1.2760149e-01  -5.0006494e+01   7.3727248e-02   1.6018840e+01   6.9294097e+01   4.8174493e+05
   1.6900000e+00  -1.1316120e-08  -1.2760150e-01  -5.0006533e+01   7.4070034e-02   1.6018840e+01   6.9294097e+01   4.8173363e+05
