t[s]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	massa[kg]	Xcg[m]	altitude[km]	long[deg]	gdLat[deg]	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
0.770000000	483792.560250607	3870.590018153	76316.551168619	76316.551168619	15496.710985244	-8.029069989	0.055054154	-44.367775000	-2.315994800	0.001033654	0.015486885	-50.002363804
0.780000000	483758.616472036	3870.470044708	76311.492164560	76311.492164560	15494.804032442	-8.028979986	0.055201815	-44.367775000	-2.315994800	0.001047056	0.015486883	-50.002394516
0.790000000	483725.435637865	3870.350032549	76306.433466762	76306.433466762	15492.896670126	-8.028890023	0.055351620	-44.367775000	-2.315994800	0.001060411	0.015486881	-50.002425229
0.800000000	483692.382007287	3870.230013108	76301.374550887	76301.374550887	15490.989481157	-8.028800042	0.055503567	-44.367775000	-2.315994800	0.001073818	0.015486879	-50.002455942
0.810000000	483659.167300035	3870.110003302	76296.315252633	76296.315252633	15489.082706093	-8.028710021	0.055657658	-44.367775000	-2.315994800	0.001087286	0.015486876	-50.002486655
0.820000000	483625.990847646	3869.989997468	76291.255896567	76291.255896567	15487.176090477	-8.028619983	0.055813892	-44.367775000	-2.315994800	0.001100706	0.015486874	-50.002517368
0.830000000	483593.001239813	3869.869988513	76286.196635292	76286.196635292	15485.269349383	-8.028529958	0.055972270	-44.367775000	-2.315994800	0.001114062	0.015486872	-50.002548080
0.840000000	483560.246042000	3869.749970065	76281.137385875	76281.137385875	15483.362214445	-8.028439973	0.056132792	-44.367775000	-2.315994800	0.001127452	0.015486869	-50.002578793
0.850000000	483527.619736437	3869.629955220	76276.078111726	76276.078111726	15481.454840826	-8.028350011	0.056295458	-44.367775000	-2.315994800	0.001140911	0.015486867	-50.002609506
0.860000000	483494.872822196	3869.509976527	76271.018840417	76271.018840417	15479.547819398	-8.028260014	0.056460269	-44.367775000	-2.315994800	0.001154392	0.015486864	-50.002640219
0.870000000	483462.162644367	3869.390023900	76265.959573457	76265.959573457	15477.641118208	-8.028169985	0.056627223	-44.367775000	-2.315994800	0.001167851	0.015486862	-50.002670932
0.880000000	483430.053078113	3869.270044760	76260.900285067	76260.900285067	15475.734077958	-8.028079990	0.056796322	-44.367775000	-2.315994800	0.001181247	0.015486859	-50.002701645
0.890000000	483398.761848283	3869.150029715	76255.841005535	76255.841005535	15473.826699413	-8.027990029	0.056967566	-44.367775000	-2.315994800	0.001194605	0.015486857	-50.002732357
0.900000000	483368.148282179	3869.030011359	76250.781809034	76250.781809034	15471.919610830	-8.027900039	0.057140956	-44.367775000	-2.315994800	0.001208006	0.015486854	-50.002763070
0.910000000	483337.871448052	3868.910002470	76245.722566190	76245.722566190	15470.012887511	-8.027810012	0.057316491	-44.367775000	-2.315994800	0.001221467	0.015486852	-50.002793783
0.920000000	483307.462392722	3868.789996631	76240.663010789	76240.663010789	15468.106114023	-8.027719989	0.057494171	-44.367775000	-2.315994800	0.001234947	0.015486849	-50.002824496
0.930000000	483277.090359254	3868.669986750	76235.603657046	76235.603657046	15466.199289977	-8.027629972	0.057673996	-44.367775000	-2.315994800	0.001248402	0.015486846	-50.002855209
0.940000000	483247.421606003	3868.549967237	76230.545503446	76230.545503446	15464.292698891	-8.027539936	0.057855967	-44.367775000	-2.315994800	0.001261794	0.015486844	-50.002885922
0.950000000	483218.540212378	3868.429955325	76225.486967602	76225.486967602	15462.385467133	-8.027449961	0.058040084	-44.367775000	-2.315994800	0.001275152	0.015486841	-50.002916635
0.960000000	483190.069279402	3868.309982306	76220.425067276	76220.425067276	15460.476222218	-8.027360172	0.058226347	-44.367775000	-2.315994800	0.001288559	0.015486839	-50.002947348
0.970000000	483161.683562586	3868.190029162	76215.365329157	76215.365329157	15458.569196950	-8.027270174	0.058414757	-44.367775000	-2.315994800	0.001302023	0.015486836	-50.002978061
0.980000000	483133.146179842	3868.070044177	76210.317005789	76210.317005789	15456.670816629	-8.027179368	0.058605313	-44.367775000	-2.315994800	0.001315503	0.015486833	-50.003008774
0.990000000	483104.743312818	3867.950026845	76205.258442317	76205.258442317	15454.763986175	-8.027089355	0.058798016	-44.367775000	-2.315994800	0.001328954	0.015486830	-50.003039487
1.000000000	483077.058169395	3867.830009781	76200.150358208	76200.150358208	15452.818241795	-8.027002985	0.058992866	-44.367775000	-2.315994800	0.001342340	0.015486827	-50.003070200
1.010000000	483050.036135591	3867.710001690	76194.991861732	76194.991861732	15450.832724319	-8.026920327	0.059189863	-44.367775000	-2.315994800	0.001355700	0.015486824	-50.003100913
1.020000000	483023.232042686	3867.589995726	76189.805940093	76189.805940093	15448.825055998	-8.026839721	0.059389007	-44.367775000	-2.315994800	0.001369111	0.015486822	-50.003131626
1.030000000	482996.371902896	3867.469984799	76184.609154195	76184.609154195	15446.808617526	-8.026759941	0.059590299	-44.367775000	-2.315994800	0.001382578	0.015486819	-50.003162339
1.040000000	482969.341085237	3867.349964530	76179.413056661	76179.413056661	15444.793219602	-8.026680112	0.059793739	-44.367775000	-2.315994800	0.001396059	0.015486816	-50.003193052
1.050000000	482942.541294467	3867.229956150	76174.219820450	76174.219820450	15442.780226429	-8.026600062	0.059999327	-44.367775000	-2.315994800	0.001409506	0.015486813	-50.003223766
1.060000000	482916.567621262	3867.109988434	76169.026726351	76169.026726351	15440.766683143	-8.026519991	0.060207063	-44.367775000	-2.315994800	0.001422882	0.015486810	-50.003254479
1.070000000	482891.242057931	3866.990033816	76163.833045257	76163.833045257	15438.752231701	-8.026439962	0.060416947	-44.367775000	-2.315994800	0.001436244	0.015486807	-50.003285192
1.080000000	482866.025159856	3866.870043035	76158.639080245	76158.639080245	15436.737793998	-8.026359962	0.060628980	-44.367775000	-2.315994800	0.001449682	0.015486803	-50.003315905
1.090000000	482840.659538177	3866.750024015	76153.445030970	76153.445030970	15434.723712797	-8.026279977	0.060843162	-44.367775000	-2.315994800	0.001463145	0.015486800	-50.003346618
1.100000000	482815.103813104	3866.630008359	76148.251019884	76148.251019884	15432.710004048	-8.026199990	0.061059493	-44.367775000	-2.315994800	0.001476533	0.015486797	-50.003377331
1.110000000	482789.901543207	3866.510000945	76143.056994915	76143.056994915	15430.696349397	-8.026119999	0.061277974	-44.367775000	-2.315994800	0.001489890	0.015486794	-50.003408045
1.120000000	482765.707499389	3866.389994737	76137.862874637	76137.862874637	15428.682350961	-8.026040006	0.061498603	-44.367775000	-2.315994800	0.001503309	0.015486791	-50.003438758
1.130000000	482742.185594583	3866.269982644	76132.668898743	76132.668898743	15426.668066174	-8.025960017	0.061721383	-44.367775000	-2.315994800	0.001516782	0.015486788	-50.003469471
1.140000000	482718.666302882	3866.149962021	76127.475339712	76127.475339712	15424.653742078	-8.025880038	0.061946312	-44.367775000	-2.315994800	0.001530260	0.015486784	-50.003500184
1.150000000	482694.943938142	3866.029957772	76122.281853554	76122.281853554	15422.639637586	-8.025800042	0.062173392	-44.367775000	-2.315994800	0.001543699	0.015486781	-50.003530898
1.160000000	482671.075609401	3865.909994789	76117.087971237	76117.087971237	15420.625926507	-8.025720005	0.062402622	-44.367775000	-2.315994800	0.001557073	0.015486778	-50.003561611
1.170000000	482647.604357650	3865.790037737	76111.893856611	76111.893856611	15418.612271591	-8.025639962	0.062634003	-44.367775000	-2.315994800	0.001570438	0.015486774	-50.003592324
1.180000000	482625.068229663	3865.670041414	76106.699825373	76106.699825373	15416.598250439	-8.025559959	0.062867535	-44.367775000	-2.315994800	0.001583864	0.015486771	-50.003623038
1.190000000	482603.070028575	3865.550021305	76101.505809246	76101.505809246	15414.583947786	-8.025479979	0.063103217	-44.367775000	-2.315994800	0.001597337	0.015486768	-50.003653751
1.200000000	482581.003674080	3865.430007077	76096.311693022	76096.311693022	15412.569620672	-8.025399993	0.063341051	-44.367775000	-2.315994800	0.001610813	0.015486764	-50.003684464
1.210000000	482558.744098905	3865.310000221	76091.117748684	76091.117748684	15410.555553167	-8.025320000	0.063581037	-44.367775000	-2.315994800	0.001624248	0.015486761	-50.003715178
1.220000000	482536.397403466	3865.189993649	76085.924222368	76085.924222368	15408.541899969	-8.025240006	0.063823174	-44.367775000	-2.315994800	0.001637619	0.015486758	-50.003745891
1.230000000	482514.451558603	3865.069980269	76080.730711823	76080.730711823	15406.528195284	-8.025160020	0.064067464	-44.367775000	-2.315994800	0.001650987	0.015486754	-50.003776604
1.240000000	482493.313311012	3864.949959789	76075.536787834	76075.536787834	15404.514014298	-8.025080040	0.064313906	-44.367775000	-2.315994800	0.001664418	0.015486751	-50.003807318
1.250000000	482472.601686318	3864.829960269	76070.342670986	76070.342670986	15402.499832606	-8.025000040	0.064562501	-44.367775000	-2.315994800	0.001677893	0.015486747	-50.003838031
1.260000000	482451.822629250	3864.710001243	76065.148650233	76065.148650233	15400.486127182	-8.024919999	0.064813248	-44.367775000	-2.315994800	0.001691368	0.015486742	-50.003868745
1.270000000	482430.838224313	3864.590040800	76059.954624611	76059.954624611	15398.472474512	-8.024839959	0.065066148	-44.367775000	-2.315994800	0.001704797	0.015486740	-50.003899458
1.280000000	482409.749842653	3864.470039390	76054.760508146	76054.760508146	15396.458407799	-8.024759961	0.065321201	-44.367775000	-2.315994800	0.001718159	0.015486739	-50.003930172
1.290000000	482389.206383162	3864.350018790	76049.566603993	76049.566603993	15394.444080938	-8.024679981	0.065578409	-44.367775000	-2.315994800	0.001731537	0.015486732	-50.003960885
1.300000000	482369.666572537	3864.230005920	76044.373106547	76044.373106547	15392.429778046	-8.024599994	0.065837770	-44.367775000	-2.315994800	0.001744994	0.015486717	-50.003991599
1.310000000	482350.557428579	3864.109999502	76039.179564202	76039.179564202	15390.415755987	-8.024520000	0.066099285	-44.367775000	-2.315994800	0.001758441	0.015486728	-50.004022312
1.320000000	482331.308033725	3863.989992446	76033.985602032	76033.985602032	15388.402100399	-8.024440008	0.066362954	-44.367775000	-2.315994801	0.001771810	0.015486765	-50.004053026
1.330000000	482312.004808582	3863.869977671	76028.791487294	76028.791487294	15386.388390338	-8.024360022	0.066628777	-44.367775000	-2.315994800	0.001785179	0.015486701	-50.004083739
1.340000000	482292.776688238	3863.749957911	76023.597474952	76023.597474952	15384.374287519	-8.024280042	0.066896755	-44.367775000	-2.315994797	0.001798618	0.015486551	-50.004114453
1.350000000	482273.517958551	3863.629963676	76018.403438178	76018.403438178	15382.359962003	-8.024200036	0.067166888	-44.367775000	-2.315994801	0.001812096	0.015486788	-50.004145166
1.360000000	482254.156880501	3863.510007674	76013.209326236	76013.209326236	15380.345673344	-8.024119992	0.067439177	-44.367775000	-2.315994811	0.001825567	0.015487319	-50.004175880
1.370000000	482234.819462707	3863.390042952	76008.015464733	76008.015464733	15378.331680481	-8.024039957	0.067713621	-44.367775000	-2.315994794	0.001838988	0.015486350	-50.004206593
1.380000000	482215.545671534	3863.270037043	76002.821987639	76002.821987639	15376.318038385	-8.023959963	0.067990221	-44.367775000	-2.315994739	0.001852350	0.015483215	-50.004237307
1.390000000	482196.088355646	3863.150016502	75997.628412455	75997.628412455	15374.304304862	-8.023879983	0.068268977	-44.367775000	-2.315994695	0.001865729	0.015480666	-50.004268020
1.400000000	482176.524356667	3863.030004871	75992.434424336	75992.434424336	15372.290177558	-8.023799995	0.068549889	-44.367775000	-2.315994692	0.001879173	0.015480477	-50.004298734
1.410000000	482157.760491620	3862.909998772	75987.240297983	75987.240297983	15370.275840784	-8.023720001	0.068832958	-44.367775000	-2.315994702	0.001892651	0.015481045	-50.004329448
1.420000000	482140.268397172	3862.789991112	75982.046262954	75982.046262954	15368.261558083	-8.023640009	0.069118184	-44.367775000	-2.315994702	0.001906119	0.015481078	-50.004360161
1.430000000	482123.360880568	3862.669974906	75976.852281743	75976.852281743	15366.247616239	-8.023560025	0.069405566	-44.367775000	-2.315994700	0.001919535	0.015480923	-50.004390875
1.440000000	482106.444037054	3862.549956465	75971.658282974	75971.658282974	15364.234013721	-8.023480044	0.069695106	-44.367775000	-2.315994699	0.001932895	0.015480912	-50.004421589
1.450000000	482089.398189104	3862.429967894	75966.464196704	75966.464196704	15362.220181033	-8.023400032	0.069986803	-44.367775000	-2.315994700	0.001946278	0.015480948	-50.004452303
1.460000000	482072.351313806	3862.310013956	75961.270094149	75961.270094149	15360.205927317	-8.023319986	0.070280659	-44.367775000	-2.315994700	0.001959726	0.015480945	-50.004483016
1.470000000	482055.779890045	3862.190044258	75956.076300540	75956.076300540	15358.191870095	-8.023239956	0.070576673	-44.367775000	-2.315994700	0.001973206	0.015480930	-50.004513730
1.480000000	482039.896514731	3862.070034448	75950.882845039	75950.882845039	15356.178245171	-8.023159966	0.070874844	-44.367775000	-2.315994700	0.001986672	0.015480926	-50.004544444
1.490000000	482024.401055964	3861.950014428	75945.689210762	75945.689210762	15354.164495047	-8.023079986	0.071175174	-44.367775000	-2.315994700	0.002000082	0.015480924	-50.004575158
1.500000000	482009.010837720	3861.830003917	75940.495177989	75940.495177989	15352.150324084	-8.022999996	0.071477664	-44.367775000	-2.315994700	0.002013441	0.015480920	-50.004605871
1.510000000	481993.554708592	3861.709998015	75935.301080573	75935.301080573	15350.135976290	-8.022920002	0.071782313	-44.367775000	-2.315994700	0.002026828	0.015480915	-50.004636585
1.520000000	481978.092087591	3861.589989632	75930.107079968	75930.107079968	15348.121728079	-8.022840010	0.072089121	-44.367775000	-2.315994700	0.002040280	0.015480911	-50.004667299
1.530000000	481963.005049038	3861.469972052	75924.913013620	75924.913013620	15346.107825869	-8.022760028	0.072398088	-44.367775000	-2.315994700	0.002053761	0.015480907	-50.004698013
1.540000000	481948.475455678	3861.349955529	75919.718925304	75919.718925304	15344.094207506	-8.022680044	0.072709216	-44.367775000	-2.315994700	0.002067225	0.015480902	-50.004728727
